parameter,value,cutoff,cat
lnPBodNATC,0.018929425,<0.05,iCI
lnPLivNATC,0.018311037,<0.05,iCI
lnPKidNATC,0.096750587,0.05-0.1,iCI
lnKMC,0.044898746,<0.05,iCI
lnClC,0.034589574,<0.05,iCI
lnCl2OxC,0.031847237,<0.05,iCI
lnFracOtherC,0.015625514,<0.05,iCI
lnkUrnTCAC,0.0380562,<0.05,iCI
lnkMetTCAC,0.041141975,<0.05,iCI
lnClTCVGC,0.032291372,<0.05,iCI
lnkKidTCVCC,0.019286687,<0.05,iCI
lnkKidNATC,0.044516516,<0.05,iCI
lnkDCAC,0.022918434,<0.05,iCI
lnkUrnNATC,0.029501751,<0.05,iCI
