"","value","cutoff","cat"
"QGutC3",0.0478158778469004,"<0.05","tCI"
"QLivC3",0.0345341335394099,"<0.05","tCI"
"QSlwC3",0.0442667353718444,"<0.05","tCI"
"QKidC3",0.0338454331117384,"<0.05","tCI"
"FracPlasC3",0.0209933406519222,"<0.05","tCI"
"VFatC3",0.0279553174140894,"<0.05","tCI"
"VGutC3",0.0361496404113498,"<0.05","tCI"
"VLivC3",0.0197725954964303,"<0.05","tCI"
"VRapC3",0.0430283500916342,"<0.05","tCI"
"VRespLumC3",0.0480735674512594,"<0.05","tCI"
"VRespEffC3",0.0343227972781252,"<0.05","tCI"
"VKidC3",0.0292922551112637,"<0.05","tCI"
"VBldC3",0.0426822831614324,"<0.05","tCI"
"lnkTSD3",0.0691095146974629,"0.05-0.1","tCI"
"lnkAS3",0.024006765598361,"<0.05","tCI"
"lnkASAq3",0.0555516574867138,"0.05-0.1","tCI"
"lnkAD3",0.0524356419138195,"0.05-0.1","tCI"
"lnkTSDAq3",0.0953002619377387,"0.05-0.1","tCI"
"lnkADAq3",0.0864071388299586,"0.05-0.1","tCI"
"PBC3",0.0381401845244464,"<0.05","tCI"
"PFatC3",0.0291506170554146,"<0.05","tCI"
"lnPGutC3",0.0304426767495412,"<0.05","tCI"
"lnPLivC3",0.0198406480831021,"<0.05","tCI"
"lnPRapC3",0.107666232986721,">0.1","tCI"
"lnPRespC3",0.0478484307736965,"<0.05","tCI"
"lnPKidC3",0.0254955898716094,"<0.05","tCI"
"lnPSlwC3",0.0365295629845538,"<0.05","tCI"
"lnPBrnC3",0.0239440841560076,"<0.05","tCI"
"lnPRBCPlasTCAC3",0.0242414946068744,"<0.05","tCI"
"lnPKidTCAC3",0.040083524869209,"<0.05","tCI"
"lnPBrnTCAC3",0.0148516445775333,"<0.05","tCI"
"lnPBodTCAC3",0.0537161061262061,"0.05-0.1","tCI"
"lnPLivTCAC3",0.045933850699285,"<0.05","tCI"
"lnkDissocC3",0.0319345583200101,"<0.05","tCI"
"lnBMaxkDC3",0.0358577323963298,"<0.05","tCI"
"lnPBodTCVGC3",0.0311575560118315,"<0.05","tCI"
"lnPLivTCVGC3",0.031779181480939,"<0.05","tCI"
"lnPKidTCVGC3",0.0742375415754139,"0.05-0.1","tCI"
"lnPBodTCVCC3",0.044101275411531,"<0.05","tCI"
"lnPLivTCVCC3",0.0451188795440047,"<0.05","tCI"
"lnPKidTCVCC3",0.0285718712074731,"<0.05","tCI"
"lnPBodNATC3",0.021263229552108,"<0.05","tCI"
"lnPLivNATC3",0.0696528492145403,"0.05-0.1","tCI"
"lnPKidNATC3",0.0967575559360274,"0.05-0.1","tCI"
"lnKMC3",0.0447701688302831,"<0.05","tCI"
"lnClC3",0.054486242728094,"0.05-0.1","tCI"
"lnCl2OxC3",0.047202111153717,"<0.05","tCI"
"lnFracOtherC3",0.0285161229780842,"<0.05","tCI"
"lnkUrnTCAC3",0.0380555934117718,"<0.05","tCI"
"lnkMetTCAC3",0.046999189645299,"<0.05","tCI"
"lnClTCVGC3",0.0315156933014756,"<0.05","tCI"
"lnkKidTCVCC3",0.0340579715046578,"<0.05","tCI"
"lnkKidNATC3",0.0427614145732388,"<0.05","tCI"
"lnkDCAC3",0.0228677548259139,"<0.05","tCI"
"lnkUrnNATC3",0.0294966208374362,"<0.05","tCI"
"lnQCC4",0.0779649890553002,"0.05-0.1","iSI"
"lnVPRC4",0.0712992018146212,"0.05-0.1","iSI"
"QFatC4",0.0639241354843263,"0.05-0.1","iSI"
"QGutC4",0.0696786298887146,"0.05-0.1","iSI"
"QLivC4",0.0606741477664526,"0.05-0.1","iSI"
"QSlwC4",0.0621249119158022,"0.05-0.1","iSI"
"QKidC4",0.0573859832998782,"0.05-0.1","iSI"
"FracPlasC4",0.0557956445437513,"0.05-0.1","iSI"
"VFatC4",0.0663067011235785,"0.05-0.1","iSI"
"VGutC4",0.0625353105250936,"0.05-0.1","iSI"
"VLivC4",0.0670954624278076,"0.05-0.1","iSI"
"VRapC4",0.0626775664262724,"0.05-0.1","iSI"
"VRespLumC4",0.0564289447695275,"0.05-0.1","iSI"
"VRespEffC4",0.0699436602702659,"0.05-0.1","iSI"
"VKidC4",0.059212401049072,"0.05-0.1","iSI"
"VBldC4",0.069598750471357,"0.05-0.1","iSI"
"lnkTSD4",0.0640172193406803,"0.05-0.1","iSI"
"lnkAS4",0.0529826217207589,"0.05-0.1","iSI"
"lnkASAq4",0.158886827151371,"0.1-0.3","iSI"
"lnkAD4",0.0561293166290005,"0.05-0.1","iSI"
"lnkTSDAq4",0.128878275935905,"0.1-0.3","iSI"
"lnkADAq4",0.219425585271126,"0.1-0.3","iSI"
"PBC4",0.063922112558437,"0.05-0.1","iSI"
"PFatC4",0.0588518400910368,"0.05-0.1","iSI"
"lnPGutC4",0.0647985475156493,"0.05-0.1","iSI"
"lnPLivC4",0.0612844950083513,"0.05-0.1","iSI"
"lnPRapC4",0.0796308510022414,"0.05-0.1","iSI"
"lnPRespC4",0.0599437345439023,"0.05-0.1","iSI"
"lnPKidC4",0.0631100157370119,"0.05-0.1","iSI"
"lnPSlwC4",0.0599823738222174,"0.05-0.1","iSI"
"lnPBrnC4",0.0660218265455168,"0.05-0.1","iSI"
"lnPRBCPlasTCAC4",0.0614851096008505,"0.05-0.1","iSI"
"lnPKidTCAC4",0.0716528547014675,"0.05-0.1","iSI"
"lnPBrnTCAC4",0.0596022086995834,"0.05-0.1","iSI"
"lnPBodTCAC4",0.0685741804066877,"0.05-0.1","iSI"
"lnPLivTCAC4",0.0674769109825407,"0.05-0.1","iSI"
"lnkDissocC4",0.0524206395782249,"0.05-0.1","iSI"
"lnBMaxkDC4",0.0656186338885672,"0.05-0.1","iSI"
"lnPBodTCVGC4",0.0596992688099656,"0.05-0.1","iSI"
"lnPLivTCVGC4",0.123192663045484,"0.1-0.3","iSI"
"lnPKidTCVGC4",0.0584826874831938,"0.05-0.1","iSI"
"lnPBodTCVCC4",0.0609432870277458,"0.05-0.1","iSI"
"lnPLivTCVCC4",0.208259342864813,"0.1-0.3","iSI"
"lnPKidTCVCC4",0.162738015274339,"0.1-0.3","iSI"
"lnPBodNATC4",0.0723875117776911,"0.05-0.1","iSI"
"lnPLivNATC4",0.18347048703148,"0.1-0.3","iSI"
"lnPKidNATC4",0.226607447118552,"0.1-0.3","iSI"
"lnKMC4",0.0900413926258812,"0.05-0.1","iSI"
"lnClC4",0.241318057615541,"0.1-0.3","iSI"
"lnCl2OxC4",0.218522294733598,"0.1-0.3","iSI"
"lnFracOtherC4",0.0730065233128462,"0.05-0.1","iSI"
"lnkUrnTCAC4",0.0668254771654985,"0.05-0.1","iSI"
"lnkMetTCAC4",0.0717128140138188,"0.05-0.1","iSI"
"lnClTCVGC4",0.248916973030929,"0.1-0.3","iSI"
"lnkKidTCVCC4",0.186076551728778,"0.1-0.3","iSI"
"lnkKidNATC4",0.238202032171946,"0.1-0.3","iSI"
"lnkDCAC4",0.0680841093194827,"0.05-0.1","iSI"
"lnkUrnNATC4",0.281600932143721,"0.1-0.3","iSI"
"lnQCC5",0.0320696511031309,"<0.05","iCI"
"lnVPRC5",0.0247537773258646,"<0.05","iCI"
"QFatC5",0.0224413735624256,"<0.05","iCI"
"QGutC5",0.0477644392536617,"<0.05","iCI"
"QLivC5",0.0345190114510613,"<0.05","iCI"
"QSlwC5",0.044263862123604,"<0.05","iCI"
"QKidC5",0.0338559872953338,"<0.05","iCI"
"FracPlasC5",0.0209439955974313,"<0.05","iCI"
"VFatC5",0.0279108287896653,"<0.05","iCI"
"VGutC5",0.0361490553189315,"<0.05","iCI"
"VLivC5",0.019777066020275,"<0.05","iCI"
"VRapC5",0.0430092259668154,"<0.05","iCI"
"VRespLumC5",0.0480532248406207,"<0.05","iCI"
"VRespEffC5",0.0342847854588186,"<0.05","iCI"
"VKidC5",0.0292691911982273,"<0.05","iCI"
"VBldC5",0.0426511932980353,"<0.05","iCI"
"lnkTSD5",0.0691030162916846,"0.05-0.1","iCI"
"lnkAS5",0.0240056404338066,"<0.05","iCI"
"lnkASAq5",0.0378305712207956,"<0.05","iCI"
"lnkAD5",0.0524144537958609,"0.05-0.1","iCI"
"lnkTSDAq5",0.0971673521307,"0.05-0.1","iCI"
"lnkADAq5",0.0537127793432901,"0.05-0.1","iCI"
"PBC5",0.0378588165604583,"<0.05","iCI"
"PFatC5",0.0290392003506267,"<0.05","iCI"
"lnPGutC5",0.0304397004335557,"<0.05","iCI"
"lnPLivC5",0.0198421006505346,"<0.05","iCI"
"lnPRapC5",0.1075580486939,">0.1","iCI"
"lnPRespC5",0.0478439155610429,"<0.05","iCI"
"lnPKidC5",0.0254939604767324,"<0.05","iCI"
"lnPSlwC5",0.0365229952899869,"<0.05","iCI"
"lnPBrnC5",0.0239431300305953,"<0.05","iCI"
"lnPRBCPlasTCAC5",0.024237583442787,"<0.05","iCI"
"lnPKidTCAC5",0.0400851778496991,"<0.05","iCI"
"lnPBrnTCAC5",0.0148450340712868,"<0.05","iCI"
"lnPBodTCAC5",0.0537088524718305,"0.05-0.1","iCI"
"lnPLivTCAC5",0.0459395574024247,"<0.05","iCI"
"lnkDissocC5",0.0319278700437964,"<0.05","iCI"
"lnBMaxkDC5",0.0358475975692111,"<0.05","iCI"
"lnPBodTCVGC5",0.0312384805327453,"<0.05","iCI"
"lnPLivTCVGC5",0.031831550102665,"<0.05","iCI"
"lnPKidTCVGC5",0.0742048011031124,"0.05-0.1","iCI"
"lnPBodTCVCC5",0.0441122601513682,"<0.05","iCI"
"lnPLivTCVCC5",0.0544199595396417,"0.05-0.1","iCI"
"lnPKidTCVCC5",0.0257906015578405,"<0.05","iCI"
"lnPBodNATC5",0.0208323378681342,"<0.05","iCI"
"lnPLivNATC5",0.0600190633783473,"0.05-0.1","iCI"
"lnPKidNATC5",0.0967505872253912,"0.05-0.1","iCI"
"lnKMC5",0.0448987463778712,"<0.05","iCI"
"lnClC5",0.0444641131620029,"<0.05","iCI"
"lnCl2OxC5",0.0474904329050592,"<0.05","iCI"
"lnFracOtherC5",0.0285323510577109,"<0.05","iCI"
"lnkUrnTCAC5",0.0380562000654761,"<0.05","iCI"
"lnkMetTCAC5",0.0469709584075673,"<0.05","iCI"
"lnClTCVGC5",0.0322913716280631,"<0.05","iCI"
"lnkKidTCVCC5",0.0340921847932455,"<0.05","iCI"
"lnkKidNATC5",0.044516516112743,"<0.05","iCI"
"lnkDCAC5",0.0229184344681216,"<0.05","iCI"
"lnkUrnNATC5",0.0382217480555408,"<0.05","iCI"
